"CID","PA","AB","H","X1B","X2B","X3B","HR","RBI","R","BB","IBB","HP","SH","SF","SO","GIDP","EBH","TB","SB","CS","UBR","UBB","avg","obp","slg","ops","babip","woba","wRAA","wSB","BSR","oWAA","oWAA.500","Krate","BBrate","HRrate","XBH","XBHrate","X3Brate","SBrate","CSrate","UBRrate","SBO","SBA","SBArate"
"59284",37,35,7,5,0,1,1,6,5,1,0,1,0,0,9,0,2,12,1,1,0.2,1,0.2,0.243243243243243,0.342857142857143,0.586100386100386,0.24,0.249101240225914,-2.22854745334613,-0.206480118604105,-0.00648011860410513,-0.244312644580585,-3.30152222406196,0.243243243243243,0.027027027027027,0.027027027027027,1,0.166666666666667,1,0.5,0.027027027027027,0.00540540540540541,7,2,0.285714285714286
"59288",66,62,18,13,3,1,1,6,7,3,0,1,0,0,12,1,5,26,1,0,-2.4,3,0.290322580645161,0.333333333333333,0.419354838709677,0.752688172043011,0.346938775510204,0.321218827041089,-0.0399944850381929,0.713761110580477,-1.68623888941952,-0.18869594548627,-1.42951473853235,0.181818181818182,0.0454545454545455,0.0151515151515152,4,0.235294117647059,0.25,1,0,-0.0363636363636364,17,1,0.0588235294117647
"59301",467,424,127,89,28,3,7,47,62,36,1,2,0,5,33,7,38,182,12,10,5.6,35,0.299528301886792,0.351177730192719,0.429245283018868,0.780423013211587,0.308483290488432,0.332927903957133,4.23793059175805,-0.42787863857448,5.17212136142552,1.02862027617714,1.10130650554298,0.0706638115631692,0.0749464668094218,0.0149892933618844,31,0.258333333333333,0.0967741935483871,0.545454545454545,0.0214132762312634,0.0119914346895075,126,22,0.174603174603175
"59426",442,358,63,29,16,0,18,52,53,79,0,3,1,2,59,10,34,133,5,3,-3.3,79,0.175977653631285,0.328054298642534,0.371508379888268,0.699562678530802,0.159010600706714,0.308162799171242,-5.0389669134744,1.34110087776294,-1.95889912223706,-0.764942311701999,-0.865319357128958,0.133484162895928,0.178733031674208,0.0407239819004525,16,0.355555555555556,0,0.625,0.00678733031674208,-0.00746606334841629,111,8,0.0720720720720721
"59476",414,367,107,92,13,0,2,42,47,41,1,2,0,4,41,5,15,126,0,0,1.2,40,0.291553133514986,0.359903381642512,0.343324250681199,0.703227632323711,0.320121951219512,0.311756874710297,-3.4895583746669,1.27543835113421,2.47543835113421,-0.110854267741853,-0.133881965871803,0.0990338164251208,0.0966183574879227,0.00483091787439614,13,0.123809523809524,0,0,0,0.00289855072463768,134,0,0
"59520",3295,2854,767,453,161,6,147,486,465,383,8,32,6,26,578,83,314,1381,0,5,3.6,375,0.2687456201822,0.356297420333839,0.483882270497547,0.840179690831386,0.287703016241299,0.354413659518782,88.4334788372683,4.06035280580941,7.66035280580941,10.5040932967625,1.59394435459218,0.175417298937785,0.113808801213961,0.0446130500758725,167,0.269354838709677,0.0359281437125748,0,0.00151745068285281,0.00109256449165402,860,5,0.00581395348837209
"59586",129,117,30,20,8,1,1,8,15,12,1,0,0,0,18,2,10,43,4,1,2.7,11,0.256410256410256,0.317829457364341,0.367521367521368,0.685350824885709,0.295918367346939,0.298218143528824,-2.53128607777625,1.67781190358043,4.37781190358043,0.201845209182329,0.782345772024532,0.13953488372093,0.0852713178294574,0.00775193798449612,9,0.310344827586207,0.111111111111111,0.8,0.00775193798449612,0.0209302325581395,31,5,0.161290322580645
"59676",290,257,65,44,5,1,15,34,42,25,1,8,0,0,75,4,21,117,0,4,0.5,24,0.252918287937743,0.33448275862069,0.455252918287938,0.789735676908627,0.29940119760479,0.336316535472065,3.44416599857251,-2.57685410530871,-2.07685410530871,0.149461952417114,0.257693021408817,0.258620689655172,0.0827586206896552,0.0517241379310345,6,0.12,0.166666666666667,0,0.0137931034482759,0.00172413793103448,76,4,0.0526315789473684
"59715",277,255,70,50,11,6,3,25,32,20,0,1,3,1,58,9,20,102,1,4,-0.6,20,0.274509803921569,0.328519855595668,0.4,0.728519855595668,0.343589743589744,0.311685345240931,-2.35118258075119,-2.07249332103385,-2.67249332103385,-0.549142015286148,-0.991231074523732,0.209386281588448,0.0722021660649819,0.0108303249097473,17,0.253731343283582,0.352941176470588,0.2,0.0144404332129964,-0.00216606498194946,71,5,0.0704225352112676
"59813",123,103,25,18,4,1,2,6,13,20,0,0,0,0,17,3,7,37,0,1,0,20,0.242718446601942,0.365853658536585,0.359223300970874,0.725076959507459,0.273809523809524,0.322996062475836,0.106197856648674,-0.463367789972328,-0.463367789972328,-0.0390425299759639,-0.158709471447008,0.138211382113821,0.16260162601626,0.016260162601626,5,0.217391304347826,0.2,0,0.00813008130081301,0,38,1,0.0263157894736842
"60107",564,519,155,112,20,3,20,77,66,34,2,6,0,5,101,14,43,241,5,9,-4.6,32,0.298651252408478,0.342198581560284,0.464354527938343,0.806553109498627,0.334987593052109,0.340481520397739,8.6404466635261,-3.23804502896928,-7.83804502896928,0.0877111619626702,0.0777581223073317,0.179078014184397,0.0567375886524823,0.0354609929078014,23,0.17037037037037,0.130434782608696,0.357142857142857,0.0159574468085106,-0.00815602836879433,150,14,0.0933333333333333
