"CID","POS","G","IP","TC","A","PO","E","DP","TP","ZR","SBA","RTO","PB","CER","BIZ-R","BIZ-Rm","BIZ-L","BIZ-Lm","BIZ-E","BIZ-Em","BIZ-U","BIZ-Um","BIZ-Z","BIZ-Zm","BIZ-I","FRM","ARM","outs","TCip","Eip","PBip","SBip","RTOip","FRMip","ARMip","ZRip","dWAR","dWAA"
"59284",3,8,68,84,4,80,0,2,0,1,0,0,0,0,17,17,4,3,2,2,1,1,0,0,0,0,0,204,1.23529411764706,0,0,0,0,0,0,0.0147058823529412,1,1
"59288",6,17,130,76,44,29,3,7,0,5.55111512312578e-17,0,0,0,0,49,43,5,5,5,2,3,2,9,4,6,0,0,390,0.584615384615385,0.0230769230769231,0,0,0,0,0,4.2700885562506e-19,5.55111512312578e-17,5.55111512312578e-17
"59301",4,65,552,339,196,138,5,47,0,1.4,0,0,0,0,166,152,33,20,28,16,23,11,42,6,21,0,0,1656,0.614130434782609,0.00905797101449275,0,0,0,0,0,0.00253623188405797,1.4,1.4
"59301",6,2,18,8,6,2,0,3,0,-0.7,0,0,0,0,6,6,1,0,1,0,4,1,2,0,2,0,0,54,0.444444444444444,0,0,0,0,0,0,-0.0388888888888889,-0.7,-0.7
"59426",3,55,342.333333333333,368,11,356,1,42,0,2.4,0,0,0,0,47,45,17,16,6,6,5,1,6,1,1,0,0,1027,1.07497565725414,0.00292112950340798,0,0,0,0,0,0.00701071080817916,2.4,2.4
"59426",4,42,339.333333333333,210,112,93,5,26,0,-2.2,0,0,0,0,95,83,17,13,12,6,19,10,32,7,10,0,0,1018,0.618860510805501,0.0147347740667976,0,0,0,0,0,-0.00648330058939096,-2.2,-2.2
"59426",5,5,31.3333333333333,11,4,7,0,0,0,0.2,0,0,0,0,9,9,2,2,1,0,0,0,0,0,0,0,0,94,0.351063829787234,0,0,0,0,0,0,0.00638297872340425,0.2,0.2
"59426",7,2,15,4,0,4,0,0,0,0.1,0,0,0,0,1,1,3,3,0,0,0,0,1,0,2,0,-0.4,45,0.266666666666667,0,0,0,0,0,-0.0266666666666667,0.00666666666666667,-0.3,-0.3
"59476",5,37,303,87,64,19,4,4,0,2,0,0,0,0,61,58,13,12,5,2,7,3,8,6,1,0,0,909,0.287128712871287,0.0132013201320132,0,0,0,0,0,0.0066006600660066,2,2
"59476",7,49,414,98,4,92,2,0,0,8.3,0,0,0,0,41,41,17,14,9,6,16,10,41,21,31,0,-0.3,1242,0.236714975845411,0.00483091787439614,0,0,0,0,-0.00072463768115942,0.020048309178744,8,8
"59476",8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"59476",9,10,71.3333333333333,12,1,11,0,0,0,1.3,0,0,0,0,6,6,1,1,0,0,2,2,6,2,7,0,0,214,0.168224299065421,0,0,0,0,0,0,0.0182242990654206,1.3,1.3
"59520",4,728,6143,3735,2223,1431,81,554,0,57.2,0,0,0,0,1839,1692,351,277,311,206,342,126,455,102,240,0,0.3,18429,0.608009116067068,0.0131857398665147,0,0,0,0,4.88360735796842e-05,0.00931141136252645,57.5,57.5
"59520",5,19,135.333333333333,46,27,15,4,2,0,-0.3,0,0,0,0,34,32,5,4,2,1,2,0,4,2,3,0,0,406,0.339901477832512,0.0295566502463054,0,0,0,0,0,-0.00221674876847291,-0.3,-0.3
"59520",6,94,725.666666666667,405,263,132,10,22,0,4.9,0,0,0,0,255,236,30,17,33,19,55,23,52,16,25,0,0,2177,0.558107487367938,0.0137804317868627,0,0,0,0,0,0.0067524115755627,4.9,4.9
"59520",7,13,23.6666666666667,9,0,9,0,0,0,0.6,0,0,0,0,6,6,1,1,1,1,1,0,1,1,1,0,-0.2,71,0.380281690140845,0,0,0,0,0,-0.00845070422535211,0.0253521126760563,0.4,0.4
"59520",8,10,62,25,1,22,2,0,0,0.7,0,0,0,0,12,12,4,4,4,2,1,1,8,3,2,0,-0.3,186,0.403225806451613,0.032258064516129,0,0,0,0,-0.00483870967741936,0.0112903225806452,0.4,0.4
"59520",9,10,52.6666666666667,6,0,6,0,0,0,0.1,0,0,0,0,4,4,1,1,0,0,1,1,2,0,3,0,-0.2,158,0.113924050632911,0,0,0,0,0,-0.00379746835443038,0.00189873417721519,-0.1,-0.1
"59586",7,1,9,4,0,4,0,0,0,0.2,0,0,0,0,2,2,1,1,0,0,1,1,1,0,1,0,0.1,27,0.444444444444444,0,0,0,0,0,0.0111111111111111,0.0222222222222222,0.3,0.3
"59586",9,30,236,65,0,61,4,0,0,2.7,0,0,0,0,38,38,11,7,4,4,8,4,17,8,14,0,-1.5,708,0.275423728813559,0.0169491525423729,0,0,0,0,-0.00635593220338983,0.0114406779661017,1.2,1.2
"59676",7,31,241,46,1,45,0,1,0,0.3,0,0,0,0,30,29,7,6,1,1,10,3,17,6,16,0,2.2,723,0.190871369294606,0,0,0,0,0,0.00912863070539419,0.0012448132780083,2.5,2.5
"59676",8,3,15,3,0,3,0,0,0,0.6,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,-0.1,45,0.2,0,0,0,0,0,-0.00666666666666667,0.04,0.5,0.5
"59676",9,32,292.666666666667,71,6,63,2,1,0,1.7,0,0,0,0,46,46,6,5,4,3,10,3,20,6,20,0,-0.5,878,0.242596810933941,0.00683371298405467,0,0,0,0,-0.00170842824601367,0.00580865603644647,1.2,1.2
"59715",3,17,116,112,8,104,0,4,0,0.9,0,0,0,0,14,14,0,0,5,5,1,0,0,0,0,0,0,348,0.96551724137931,0,0,0,0,0,0,0.00775862068965517,0.9,0.9
"59715",5,37,291,87,63,20,4,6,0,1.5,0,0,0,0,61,57,15,13,6,5,1,1,11,5,2,0,0,873,0.298969072164948,0.013745704467354,0,0,0,0,0,0.00515463917525773,1.5,1.5
"59715",6,20,148.666666666667,86,56,29,1,12,0,1.2,0,0,0,0,48,46,9,5,5,3,11,5,11,4,10,0,0,446,0.57847533632287,0.00672645739910314,0,0,0,0,0,0.00807174887892377,1.2,1.2
"59813",4,21,185.666666666667,110,60,47,3,17,0,-1.1,0,0,0,0,57,49,15,9,12,4,13,6,11,3,5,0,0,557,0.59245960502693,0.0161579892280072,0,0,0,0,0,-0.0059245960502693,-1.1,-1.1
"59813",6,9,79,41,24,17,0,4,0,0.6,0,0,0,0,27,25,1,1,7,3,4,2,6,3,1,0,0,237,0.518987341772152,0,0,0,0,0,0,0.00759493670886076,0.6,0.6
"60107",7,73,631,122,3,115,4,0,0,6.3,0,0,0,0,69,67,17,15,10,9,17,11,37,13,39,0,-2.77555756156289e-17,1893,0.193343898573693,0.0063391442155309,0,0,0,0,-4.39866491531362e-20,0.00998415213946117,6.3,6.3
"60479",3,55,235.333333333333,217,15,201,1,16,0,0.3,0,0,0,0,41,40,7,7,2,1,1,0,4,0,0,0,0,706,0.922096317280453,0.00424929178470255,0,0,0,0,0,0.00127478753541077,0.3,0.3
"60479",5,122,1023,276,192,77,7,20,0,3.2,0,0,0,0,170,161,64,56,34,26,20,7,32,4,7,0,0,3069,0.269794721407625,0.00684261974584555,0,0,0,0,0,0.00312805474095797,3.2,3.2
"60629",9,2,18.3333333333333,7,0,7,0,0,0,0.4,0,0,0,0,4,4,2,2,0,0,1,1,0,0,2,0,-0.2,55,0.381818181818182,0,0,0,0,0,-0.0109090909090909,0.0218181818181818,0.2,0.2
"60743",7,4,34,7,0,7,0,0,0,-0.8,0,0,0,0,5,4,1,1,2,1,0,0,3,1,0,0,0.3,102,0.205882352941176,0,0,0,0,0,0.00882352941176471,-0.0235294117647059,-0.5,-0.5
"60743",9,5,28,11,1,10,0,0,0,0,0,0,0,0,7,7,3,2,1,1,1,0,0,0,2,0,-0.1,84,0.392857142857143,0,0,0,0,0,-0.00357142857142857,0,-0.1,-0.1
"60761",3,94,676,663,38,625,0,70,0,3.9,0,0,0,0,107,105,18,17,12,7,2,1,13,2,3,0,0,2028,0.980769230769231,0,0,0,0,0,0,0.00576923076923077,3.9,3.9
"60761",5,64,529.666666666667,145,103,41,1,8,0,5,0,0,0,0,93,91,24,21,23,17,8,3,10,4,6,0,0,1589,0.273757079924481,0.00188797986154814,0,0,0,0,0,0.00943989930774072,5,5
"60785",4,201,1749.66666666667,980,552,411,17,87,0,5.2,0,0,0,0,520,481,92,75,81,50,93,28,116,16,66,0,0,5249,0.560106686987998,0.00971613640693465,0,0,0,0,0,0.0029719946656506,5.2,5.2
"60785",5,63,464,150,103,43,4,16,0,2.3,0,0,0,0,101,97,27,24,20,14,4,2,12,2,2,0,0,1392,0.323275862068966,0.00862068965517241,0,0,0,0,0,0.00495689655172414,2.3,2.3
"60785",6,138,1172.66666666667,615,362,239,14,76,0,-7.6,0,0,0,0,335,293,49,27,66,41,57,17,93,25,40,0,0,3518,0.524445707788516,0.0119386014781126,0,0,0,0,0,-0.00648095508811825,-7.6,-7.6
"60819",2,45,308.666666666667,228,30,198,0,3,0,0.5,28,12,2,152,13,11,1,1,4,4,0,0,0,0,0,-4.6,0,926,0.73866090712743,0,0.00647948164146868,0.0907127429805615,0.0388768898488121,-0.014902807775378,0,0.00161987041036717,-4.1,-4.1
"60819",3,100,635.333333333333,693,40,647,6,56,0,1.4,0,0,0,0,128,123,22,19,6,6,9,2,12,2,9,0,0,1906,1.09076600209864,0.00944386149003148,0,0,0,0,0,0.00220356768100735,1.4,1.4
"60819",5,47,330.333333333333,91,62,22,7,10,0,-2.5,0,0,0,0,66,58,17,11,7,6,4,2,7,2,2,0,0,991,0.27547931382442,0.0211907164480323,0,0,0,0,0,-0.00756811301715439,-2.5,-2.5
"60819",7,65,540,145,3,136,6,0,0,2.9,0,0,0,0,82,77,19,13,14,12,23,14,45,20,39,0,-2.1,1620,0.268518518518519,0.0111111111111111,0,0,0,0,-0.00388888888888889,0.00537037037037037,0.8,0.8
"60819",9,3,3.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"60828",7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"60828",9,98,840,191,13,172,6,0,0,5.3,0,0,0,0,111,106,23,19,11,7,30,15,57,25,70,0,2.6,2520,0.227380952380952,0.00714285714285714,0,0,0,0,0.0030952380952381,0.00630952380952381,7.9,7.9
"60840",4,14,95.6666666666667,65,36,28,1,4,0,-1.4,0,0,0,0,42,37,3,2,8,5,3,0,10,1,5,0,0,287,0.679442508710801,0.0104529616724739,0,0,0,0,0,-0.0146341463414634,-1.4,-1.4
"60840",5,9,71,17,8,9,0,0,0,0.2,0,0,0,0,15,15,0,0,2,1,0,0,0,0,0,0,0,213,0.23943661971831,0,0,0,0,0,0,0.0028169014084507,0.2,0.2
"60840",6,2,17,5,3,2,0,0,0,-0.5,0,0,0,0,4,3,2,1,1,0,1,1,2,0,0,0,0,51,0.294117647058824,0,0,0,0,0,0,-0.0294117647058824,-0.5,-0.5
"60840",7,6,48,10,0,10,0,0,0,0.4,0,0,0,0,8,8,0,0,0,0,2,2,2,0,0,0,0,144,0.208333333333333,0,0,0,0,0,0,0.00833333333333333,0.4,0.4
"60840",8,2,2,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.6,6,1,0,0,0,0,0,0.3,0,0.6,0.6
"60864",7,45,332.333333333333,62,0,61,1,0,0,1.4,0,0,0,0,41,38,8,7,5,5,12,6,16,5,24,0,-0.3,997,0.186559679037111,0.00300902708124373,0,0,0,0,-0.000902708124373119,0.00421263791374122,1.1,1.1
"60864",8,118,1038.66666666667,336,11,315,10,0,0,4.4,0,0,0,0,172,165,65,56,42,25,37,21,93,48,99,0,-0.2,3116,0.323491655969191,0.00962772785622593,0,0,0,0,-0.000192554557124519,0.00423620025673941,4.2,4.2
"60864",9,50,427,103,2,96,5,0,0,7.5,0,0,0,0,53,52,13,12,4,3,17,11,40,18,32,0,-0.2,1281,0.241217798594848,0.0117096018735363,0,0,0,0,-0.000468384074941452,0.0175644028103044,7.3,7.3
"60894",2,83,698.333333333333,518,68,448,2,2,0,1.2,91,44,5,392,19,19,6,6,7,7,0,0,0,0,0,3.2,0,2095,0.741766109785203,0.00286396181384248,0.0071599045346062,0.130310262529833,0.0630071599045346,0.00458233890214797,0,0.00171837708830549,4.4,4.4
"60904",4,6,21,8,6,2,0,0,0,-0.2,0,0,0,0,5,5,1,1,2,1,3,0,1,0,0,0,0,63,0.380952380952381,0,0,0,0,0,0,-0.00952380952380952,-0.2,-0.2
"60904",5,109,796.333333333333,240,170,68,2,11,0,9.3,0,0,0,0,151,148,52,51,18,15,12,5,18,7,4,0,0,2389,0.301381331100879,0.00251151109250733,0,0,0,0,0,0.0116785265801591,9.3,9.3
"60904",6,102,792.666666666667,433,249,170,14,26,0,0.6,0,0,0,0,255,232,28,13,52,33,44,14,70,17,26,0,0,2378,0.546257359125315,0.0176619007569386,0,0,0,0,0,0.000756938603868798,0.6,0.6
"60904",9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"60905",3,5,20,20,2,18,0,2,0,0.3,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,0.015,0.3,0.3
"60905",4,68,566.666666666667,366,201,159,6,51,0,-2,0,0,0,0,178,163,36,23,34,23,36,12,39,7,25,0,0,1700,0.645882352941176,0.0105882352941176,0,0,0,0,0,-0.00352941176470588,-2,-2
"60905",5,7,55,20,16,3,1,0,0,-0.1,0,0,0,0,11,9,8,7,1,0,2,2,1,1,1,0,0,165,0.363636363636364,0.0181818181818182,0,0,0,0,0,-0.00181818181818182,-0.1,-0.1
"60905",6,3,18,14,7,6,1,1,0,-1.3,0,0,0,0,11,8,1,1,2,0,0,0,1,0,0,0,0,54,0.777777777777778,0.0555555555555556,0,0,0,0,0,-0.0722222222222222,-1.3,-1.3
"60905",7,3,4,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,-0.1,12,0,0,0,0,0,0,-0.025,-0.05,-0.3,-0.3
"60905",8,7,48,18,0,15,3,0,0,0.9,0,0,0,0,7,7,4,4,2,1,3,2,2,1,5,0,-0.5,144,0.375,0.0625,0,0,0,0,-0.0104166666666667,0.01875,0.4,0.4
"60905",9,1,13,4,0,4,0,0,0,0.4,0,0,0,0,2,2,1,1,0,0,0,0,1,1,2,0,0.2,39,0.307692307692308,0,0,0,0,0,0.0153846153846154,0.0307692307692308,0.6,0.6
"60906",2,9,42,33,5,28,0,0,0,-0.1,9,5,0,17,1,0,0,0,0,0,0,0,0,0,0,-0.3,0,126,0.785714285714286,0,0,0.214285714285714,0.119047619047619,-0.00714285714285714,0,-0.00238095238095238,-0.4,-0.4
"60906",3,75,526.666666666667,536,39,496,1,55,0,4.1,0,0,0,0,100,98,23,22,4,3,10,5,7,0,7,0,0,1580,1.01772151898734,0.00189873417721519,0,0,0,0,0,0.00778481012658228,4.1,4.1
"60906",4,7,27.6666666666667,16,8,8,0,2,0,0.3,0,0,0,0,5,5,1,1,3,2,3,1,1,0,0,0,0,83,0.578313253012048,0,0,0,0,0,0,0.0108433734939759,0.3,0.3
"60906",5,13,67.6666666666667,23,15,8,0,0,0,1.2,0,0,0,0,14,14,4,4,2,2,2,2,0,0,1,0,0,203,0.339901477832512,0,0,0,0,0,0,0.0177339901477832,1.2,1.2
"60906",6,2,12,9,4,5,0,1,0,-0.2,0,0,0,0,5,5,1,0,1,0,0,0,2,1,1,0,0,36,0.75,0,0,0,0,0,0,-0.0166666666666667,-0.2,-0.2
"60906",7,261,2145.33333333333,449,10,431,8,1,0,23.7,0,0,0,0,255,252,62,53,42,32,80,50,133,44,159,0,-4.1,6436,0.209291485394655,0.00372902423865755,0,0,0,0,-0.00191112492231199,0.011047234307023,19.6,19.6
"60906",8,21,135.333333333333,51,1,49,1,0,0,-0.3,0,0,0,0,35,34,7,5,4,3,7,5,7,2,12,0,-0.4,406,0.376847290640394,0.00738916256157635,0,0,0,0,-0.00295566502463054,-0.00221674876847291,-0.7,-0.7
"60906",9,207,1725.66666666667,405,10,385,10,0,0,18.5,0,0,0,0,236,234,51,46,28,24,66,43,117,38,123,0,-6.5,5177,0.234691906509562,0.00579486188912498,0,0,0,0,-0.00376666022793123,0.0107204944948812,12,12
"60935",2,27,229,191,12,177,2,0,0,-1.8,31,7,1,148,0,0,2,2,0,0,0,0,0,0,0,-0.7,0,687,0.834061135371179,0.00873362445414847,0.00436681222707424,0.135371179039301,0.0305676855895196,-0.00305676855895197,0,-0.00786026200873362,-2.5,-2.5
"60935",3,8,10,11,1,9,1,0,0,-0.5,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,30,1.1,0.1,0,0,0,0,0,-0.05,-0.5,-0.5
"60935",5,3,12,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36,0.0833333333333333,0,0,0,0,0,0,0,0,0
"60935",7,9,61,18,2,16,0,1,0,0.6,0,0,0,0,10,10,2,2,2,2,3,1,3,1,7,0,0.5,183,0.295081967213115,0,0,0,0,0,0.00819672131147541,0.00983606557377049,1.1,1.1
"60935",8,4,32,5,0,5,0,0,0,0.4,0,0,0,0,1,1,2,2,1,1,1,1,0,0,4,0,-0.3,96,0.15625,0,0,0,0,0,-0.009375,0.0125,0.1,0.1
"60935",9,4,17,8,0,7,1,0,0,-0.4,0,0,0,0,6,6,0,0,1,0,1,1,0,0,0,0,0,51,0.470588235294118,0.0588235294117647,0,0,0,0,0,-0.0235294117647059,-0.4,-0.4
"60948",3,1,9,8,0,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,27,0.888888888888889,0,0,0,0,0,0,0,0,0
"60948",5,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"60948",7,9,13,2,0,2,0,0,0,0.1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,39,0.153846153846154,0,0,0,0,0,0,0.00769230769230769,0.1,0.1
"60948",8,47,376,136,4,129,3,0,0,8.8,0,0,0,0,69,69,20,19,21,13,19,12,29,16,34,0,-0.3,1128,0.361702127659574,0.00797872340425532,0,0,0,0,-0.000797872340425532,0.0234042553191489,8.5,8.5
"60948",9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"60953",3,4,35.6666666666667,37,2,35,0,3,0,0.1,0,0,0,0,4,4,1,1,0,0,0,0,1,0,0,0,0,107,1.03738317757009,0,0,0,0,0,0,0.00280373831775701,0.1,0.1
"60953",4,2,10,4,3,1,0,0,0,0.2,0,0,0,0,2,2,1,1,1,1,0,0,1,0,0,0,0,30,0.4,0,0,0,0,0,0,0.02,0.2,0.2
"60953",5,10,91,28,19,8,1,2,0,0.1,0,0,0,0,20,18,5,5,2,2,2,0,1,1,1,0,0,273,0.307692307692308,0.010989010989011,0,0,0,0,0,0.0010989010989011,0.1,0.1
"60953",6,10,76,39,22,17,0,4,0,-0.5,0,0,0,0,27,23,3,3,0,0,3,0,5,2,3,0,0,228,0.513157894736842,0,0,0,0,0,0,-0.00657894736842105,-0.5,-0.5
"60953",7,20,169,28,1,25,2,0,0,1,0,0,0,0,16,16,7,7,0,0,1,1,3,1,9,0,-0.7,507,0.165680473372781,0.0118343195266272,0,0,0,0,-0.00414201183431953,0.00591715976331361,0.3,0.3
"60989",2,8,62,57,8,49,0,0,0,0.8,10,7,0,24,1,1,0,0,1,1,0,0,0,0,0,-0.1,0,186,0.919354838709677,0,0,0.161290322580645,0.112903225806452,-0.00161290322580645,0,0.0129032258064516,0.7,0.7
"60989",5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"61002",2,10,79.6666666666667,75,7,68,0,0,0,0.4,8,5,1,35,5,5,1,1,1,1,0,0,0,0,0,0.4,0,239,0.941422594142259,0,0.0125523012552301,0.100418410041841,0.0627615062761506,0.00502092050209205,0,0.00502092050209205,0.8,0.8
"61002",3,5,25,26,3,23,0,1,0,0.3,0,0,0,0,3,3,4,4,0,0,1,0,0,0,1,0,0,75,1.04,0,0,0,0,0,0,0.012,0.3,0.3
"61010",3,29,212,233,18,214,1,23,0,0.1,0,0,0,0,65,63,5,4,3,2,0,0,1,0,0,0,0,636,1.09905660377358,0.00471698113207547,0,0,0,0,0,0.000471698113207547,0.1,0.1
