"CID","G","GS","RA","W","SVO","BS","SV","L","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","HP","DP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"69302",28,8,20,3,5,1,4,5,8,3,1,304,271,67,49,16,1,74,116,8,40,37,1,27,47,1,2,2,3,1,8,1,60,91,5,1,201,26,4.97014925373134,1.49253731343284,4.64671182655339,6.3134328358209,3.62686567164179,1.07462686567164,9.94029850746269,5.37313432835821,0.273062730627306,0.338815789473684,0.428044280442804,0.766860069916489,0.302752293577982,0.336219593590193,0.154605263157895,0.0855263157894737,0.0263157894736842,0.720394736842105,0.161184210526316,0.0526315789473684,0.00328947368421053,27.4821428571429,-0.886170282258963,-0.032245312414881,-0.240048436866337,-0.394816508003843
"69388",20,4,16,1,1,0,1,2,5,1,2,225,196,50.6666666666667,32,10,0,48,76,6,21,20,0,22,50,1,3,0,3,2,9,2,39,59,2,1,152,22,3.55263157894737,1.38157894736842,4.20170004336408,8.88157894736842,3.90789473684211,1.06578947368421,8.52631578947368,3.73026315789474,0.244897959183673,0.324444444444444,0.387755102040816,0.712199546485261,0.293706293706294,0.31524203041773,0.222222222222222,0.0977777777777778,0.0266666666666667,0.64,0.142222222222222,0.0444444444444444,0,26.9875,0.756700888204509,0.0280389398130434,0.157848846354911,0.350775214122024
"69638",42,29,13,13,0,0,0,17,7,2,0,828,724,189.333333333333,125,32,6,183,287,20,104,97,0,83,191,8,6,11,7,10,6,2,161,196,7,2,568,83,4.61091549295775,1.40492957746479,4.00405363861982,9.07922535211268,3.94542253521127,0.950704225352113,8.69894366197183,4.94366197183099,0.252762430939227,0.329710144927536,0.396408839779006,0.726118984706542,0.314065510597302,0.322080069445895,0.230676328502415,0.10024154589372,0.0241545893719807,0.636473429951691,0.150966183574879,0.0386473429951691,0.0072463768115942,25.0952380952381,-0.456697925731739,-0.0181985890709042,-0.38284439230643,-0.231186227238182
"69852",8,0,8,1,0,0,0,0,1,0,0,47,42,9.66666666666667,9,4,0,13,17,0,7,7,0,5,6,0,0,1,0,0,5,1,13,10,0,0,29,5,6.51724137931034,1.86206896551724,3.6436238183187,5.58620689655172,4.6551724137931,0,12.1034482758621,6.51724137931034,0.30952380952381,0.382978723404255,0.404761904761905,0.78774062816616,0.361111111111111,0.352840320014671,0.127659574468085,0.106382978723404,0,0.765957446808511,0.191489361702128,0.0851063829787234,0,28.84375,-2.0302773332111,-0.0703888132857585,-0.075602799455074,-0.804285100585894
"70263",4,0,4,0,0,0,0,0,1,0,0,18,17,5,3,0,0,3,3,0,0,0,0,1,4,0,0,0,0,1,3,0,5,5,0,0,15,1,0,0.8,2.3332789907325,7.2,1.8,0,5.4,0,0.176470588235294,0.222222222222222,0.176470588235294,0.398692810457516,0.230769230769231,0.188797778280118,0.222222222222222,0.0555555555555556,0,0.722222222222222,0.166666666666667,0,0,28.125,4.48696404609925,0.159536499416862,0.0886313885649234,2.46198301569232
"70267",13,0,13,0,0,0,0,1,2,0,0,66,58,15.6666666666667,9,1,0,10,11,0,5,3,1,8,9,0,0,0,0,0,7,0,23,14,0,0,47,7,1.72340425531915,1.08510638297872,3.52476835243462,5.17021276595745,4.59574468085106,0,5.74468085106383,2.87234042553191,0.172413793103448,0.257575757575758,0.189655172413793,0.447230929989551,0.204081632653061,0.219966808283523,0.136363636363636,0.106060606060606,0,0.742424242424242,0.136363636363636,0.0151515151515152,0,28.4807692307692,1.61462362056733,0.0566917138889272,0.0986855760288733,0.747618000218737
"70273",59,25,34,10,4,1,2,13,6,7,2,898,782,204.666666666667,124,38,1,190,311,27,116,105,4,88,221,7,5,9,16,17,19,8,161,212,2,0,614,84,4.61726384364821,1.33876221498371,4.11992394187256,9.71824104234528,3.86970684039088,1.18729641693811,8.35504885993485,5.10097719869707,0.242966751918159,0.32293986636971,0.39769820971867,0.720638076088381,0.302411873840445,0.320044639598694,0.246102449888641,0.0935412026726058,0.0300668151447661,0.608017817371938,0.138084632516704,0.0423162583518931,0.00111358574610245,26.271186440678,-0.614013152597823,-0.0233721135504978,-0.531499174815024,-0.295934952569612
"70341",5,2,3,0,0,0,0,2,0,0,0,54,37,8,10,4,0,18,34,4,19,18,0,13,5,1,3,2,0,0,0,0,3,15,0,0,24,13,20.25,3.875,13.4582789907325,5.625,14.625,4.5,20.25,21.375,0.486486486486487,0.574074074074074,0.918918918918919,1.49299299299299,0.451612903225806,0.584066647844874,0.0925925925925926,0.240740740740741,0.0740740740740741,0.592592592592593,0.185185185185185,0.0740740740740741,0,30.45,-16.8880359539008,-0.554615302262751,-0.492991379789112,-4.56473499804733
"70344",8,0,8,0,0,0,0,1,2,1,0,63,52,12.3333333333333,9,2,1,16,32,4,10,10,0,10,6,0,0,1,1,1,8,3,11,18,0,0,37,10,7.2972972972973,2.10810810810811,9.00895466640817,4.37837837837838,7.2972972972973,2.91891891891892,11.6756756756757,7.2972972972973,0.307692307692308,0.428571428571429,0.615384615384615,1.04395604395604,0.285714285714286,0.440153528995812,0.0952380952380952,0.158730158730159,0.0634920634920635,0.666666666666667,0.142857142857143,0.0317460317460317,0.0158730158730159,28.625,-2.81033325119805,-0.0981775808278795,-0.134539647801168,-1.06777498254895
"70350",327,0,327,22,29,13,16,12,81,55,53,1597,1374,355.333333333333,257,72,10,372,563,33,204,198,9,175,209,6,21,19,21,39,170,55,392,414,3,1,1066,166,5.01500938086304,1.5140712945591,4.76573677684882,5.29362101313321,4.43245778611632,0.835834896810507,9.42213883677298,5.16697936210131,0.270742358078603,0.35003130870382,0.409752547307132,0.759783856010952,0.294015611448395,0.336873072427735,0.130870381966187,0.103944896681277,0.0206637445209768,0.725735754539762,0.160926737633062,0.0450845335003131,0.00626174076393237,28.8379204892966,-0.680015316002067,-0.0235805947330515,-0.930996814275294,-0.291483035151939
"70352",21,0,21,1,10,4,6,4,7,6,1,105,98,26,10,5,0,22,48,7,15,15,1,6,38,0,1,1,0,0,10,4,18,21,0,0,78,5,5.19230769230769,1.03846153846154,4.48712514457865,13.1538461538462,2.07692307692308,2.42307692307692,7.61538461538461,5.19230769230769,0.224489795918367,0.257142857142857,0.489795918367347,0.746938775510204,0.277777777777778,0.310389071163583,0.361904761904762,0.0476190476190476,0.0666666666666667,0.514285714285714,0.0952380952380952,0.0476190476190476,0,28.6785714285714,-0.705343646208446,-0.0245947971280654,-0.0710516361477444,-0.338341124513068
"70353",32,0,32,1,1,0,1,1,6,5,1,184,161,40.6666666666667,33,14,0,50,73,3,25,22,0,18,18,2,1,3,2,8,21,11,45,49,0,0,122,18,4.86885245901639,1.67213114754098,4.73491833499479,3.98360655737705,3.98360655737705,0.663934426229508,11.0655737704918,5.5327868852459,0.31055900621118,0.380434782608696,0.453416149068323,0.833850931677019,0.333333333333333,0.368372067211613,0.0978260869565217,0.0978260869565217,0.016304347826087,0.777173913043478,0.179347826086957,0.0760869565217391,0,28.6796875,-1.04582283914666,-0.0364656288234192,-0.164770619128042,-0.44774624763055
"70355",53,0,53,6,4,3,1,3,24,6,13,263,232,58.3333333333333,53,9,1,63,74,0,21,20,2,28,26,0,1,3,2,3,21,7,65,78,1,1,175,26,3.08571428571429,1.52571428571429,3.77899327644678,4.01142857142857,4.32,0,9.72,3.24,0.271551724137931,0.346007604562738,0.318965517241379,0.664973121804117,0.304347826086957,0.307260067837963,0.0988593155893536,0.0988593155893536,0,0.787072243346008,0.201520912547529,0.0342205323193916,0.00380228136882129,28.6462264150943,1.24696404609925,0.0435297839244262,0.282137488399059,0.536383057792887
"70356",2,0,2,0,0,0,0,0,0,0,0,17,13,3.33333333333333,2,2,0,4,6,0,3,3,0,2,2,1,0,0,1,0,2,2,4,4,0,0,10,2,8.1,1.8,3.9332789907325,5.4,5.4,0,10.8,8.1,0.307692307692308,0.411764705882353,0.461538461538462,0.873303167420814,0.363636363636364,0.402691719738982,0.117647058823529,0.117647058823529,0,0.705882352941177,0.117647058823529,0.117647058823529,0,28.625,-3.61303595390075,-0.126219596642821,-0.0467479987566004,-1.37494113990001
"70357",37,0,37,3,1,0,1,1,9,9,5,207,183,45.6666666666667,33,10,1,48,72,4,27,20,1,18,50,1,1,2,4,3,26,10,40,43,0,0,137,17,3.94160583941606,1.42335766423358,3.39897242138943,9.85401459854015,3.54744525547445,0.788321167883212,9.45985401459854,5.32116788321168,0.262295081967213,0.333333333333333,0.39344262295082,0.726775956284153,0.338461538461538,0.323647938642334,0.241545893719807,0.0821256038647343,0.0193236714975845,0.632850241545894,0.159420289855072,0.0483091787439614,0.00483091787439614,28.6959459459459,-0.834203837112433,-0.0290704421692112,-0.147505576932664,-0.356293664088561
"70358",22,0,22,1,2,1,1,1,6,1,2,110,102,27,16,3,0,21,30,2,6,6,0,8,13,0,0,1,0,0,13,7,30,38,0,0,81,8,2,1.07407407407407,4.22216787962139,4.33333333333333,2.66666666666667,0.666666666666667,7,2,0.205882352941176,0.263636363636364,0.294117647058824,0.557754010695187,0.218390804597701,0.251149544985512,0.118181818181818,0.0727272727272727,0.0181818181818182,0.790909090909091,0.145454545454545,0.0272727272727273,0,28.3636363636364,2.48696404609925,0.087681424702217,0.263044274106651,1.19565579139387
"70359",51,6,45,4,4,3,1,6,11,11,5,408,332,86.6666666666667,58,12,1,79,117,8,49,44,3,68,110,3,3,4,2,4,27,9,55,90,1,0,260,65,4.56923076923077,1.66153846153846,4.24481745227096,11.4230769230769,7.06153846153846,0.830769230769231,8.20384615384615,5.08846153846154,0.237951807228916,0.357843137254902,0.352409638554217,0.710252775809119,0.327188940092166,0.327872201147864,0.269607843137255,0.159313725490196,0.0196078431372549,0.53921568627451,0.142156862745098,0.0294117647058824,0.00245098039215686,28.171568627451,-0.601497492362292,-0.0213512247158357,-0.205604386152492,-0.251966159500603
"70360",43,2,41,7,5,0,4,2,15,7,1,319,288,80.3333333333333,30,9,1,52,99,12,27,27,0,27,97,1,1,1,2,1,17,6,55,85,0,0,241,27,3.02489626556017,0.983402489626556,3.86854870027607,10.8672199170124,3.02489626556017,1.34439834024896,5.82572614107884,3.02489626556017,0.180555555555556,0.253918495297806,0.34375,0.597668495297806,0.222222222222222,0.262884487359146,0.304075235109718,0.0846394984326019,0.0376175548589342,0.567398119122257,0.0940438871473354,0.0282131661442006,0.00313479623824451,27.6686046511628,1.46206778053908,0.0528421219274473,0.471664866093141,0.73928662397044
"70362",3,3,0,1,0,0,0,1,0,0,0,62,56,14,9,3,0,14,23,2,7,7,0,6,12,0,0,0,0,0,0,0,11,19,0,0,42,6,4.5,1.42857142857143,4.76185041930393,7.71428571428571,3.85714285714286,1.28571428571429,9,4.5,0.25,0.32258064516129,0.410714285714286,0.733294930875576,0.285714285714286,0.321541571420347,0.193548387096774,0.0967741935483871,0.032258064516129,0.67741935483871,0.145161290322581,0.0483870967741935,0,24.75,-0.0130359539007543,-0.000526705208111285,-0.000819319212617554,-0.00660741300498027
"70363",261,144,117,41,15,8,7,49,31,36,15,3677,3249,830.333333333333,606,162,15,890,1403,107,477,439,8,336,462,30,33,23,27,71,73,35,901,1018,3,3,2491,328,4.75832998795664,1.46688077077479,5.08076995821544,5.00762745885187,3.64191087916499,1.15977519068647,9.64672822159775,5.17021276595745,0.273930440135426,0.338591242861028,0.431825176977532,0.770416419838559,0.288610394397346,0.33766726156087,0.125645906989394,0.0892031547457166,0.0290998096274137,0.746532499320098,0.164808267609464,0.0440576556975796,0.0040794125645907,26.5986590038314,-0.6832487198582,-0.0256873370856697,-2.36989469186678,-0.322259272758605
"70365",1,1,0,0,0,0,0,0,0,0,0,21,17,4.33333333333333,4,1,0,5,6,0,1,1,0,2,4,1,0,0,1,0,0,0,7,2,0,0,13,2,2.07692307692308,1.61538461538462,2.87174052919404,8.30769230769231,4.15384615384615,0,10.3846153846154,2.07692307692308,0.294117647058824,0.380952380952381,0.352941176470588,0.733893557422969,0.384615384615385,0.349611000904212,0.19047619047619,0.0952380952380952,0,0.666666666666667,0.19047619047619,0.0476190476190476,0,24.25,2.41004096917617,0.0993831327495327,0.0478511379905158,1.13931280929799
"70366",4,4,0,0,0,0,0,2,0,0,0,83,68,16.3333333333333,14,3,0,20,32,3,17,15,0,14,8,0,0,2,1,3,0,0,16,22,0,0,49,14,8.26530612244898,2.08163265306122,7.31287082746719,4.40816326530612,7.71428571428572,1.6530612244898,11.0204081632653,9.36734693877551,0.294117647058824,0.421686746987952,0.470588235294118,0.892274982282069,0.298245614035088,0.395372031968614,0.0963855421686747,0.168674698795181,0.036144578313253,0.686746987951807,0.168674698795181,0.036144578313253,0,27.0625,-4.88038289267626,-0.180337474094273,-0.32727911965257,-1.97156096176247
