"CID","G","GS","RA","W","SVO","L","BS","SV","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","DP","HP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"59216",961,1,960,78,133,56,56,76,221,173,101,5495,4823,1239,979,262,29,1369,1986,99,706,662,24,558,548,9,63,56,153,41,623,211,1563,1365,80,35,3717,534,4.80871670702179,1.53591606133979,4.52574779221318,3.98062953995157,4.05326876513317,0.719128329297821,9.94430992736078,5.12832929782082,0.283848227244454,0.353776160145587,0.41177690234294,0.765553062488527,0.299598962019344,0.340464022220086,0.0997270245677889,0.097179253867152,0.0180163785259327,0.773248407643312,0.178161965423112,0.0476797088262056,0.00527752502274795,28.6170655567118,-0.0811941103183003,-0.00283726191832612,-0.390596390756229,-0.0355410728622592
"59276",14,11,3,1,0,5,0,0,1,1,0,326,283,73,53,9,1,78,134,15,51,50,0,38,41,1,3,4,5,1,2,1,67,100,9,5,219,38,6.16438356164384,1.58904109589041,6.18820204719124,5.05479452054795,4.68493150684932,1.84931506849315,9.61643835616438,6.28767123287671,0.275618374558304,0.358895705521472,0.473498233215548,0.83239393873702,0.273913043478261,0.362266088655707,0.125766871165644,0.116564417177914,0.0460122699386503,0.708588957055215,0.162576687116564,0.0276073619631902,0.00306748466257669,24.9107142857143,-1.24053604537419,-0.0497992964451288,-0.4039276267216,-0.619520899879755
"59426",1,0,1,0,0,0,0,0,0,0,0,2,2,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,3.07861300609535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,5.04713518750252,0.174039144396639,0.0128917884738251,3.22294711845627
"59476",1,0,1,0,0,0,0,0,0,0,0,9,6,1.66666666666667,1,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,4,1,0,0,5,3,5.4,2.4,8.47861300609534,0,16.2,0,5.4,5.4,0.166666666666667,0.444444444444444,0.166666666666667,0.611111111111111,0.166666666666667,0.340066091171189,0,0.333333333333333,0,0.666666666666667,0.111111111111111,0,0,28.25,-0.352864812497477,-0.0124907898229195,-0.00231310922646658,-0.128506068137032
"59520",20,27,216.1,125,70,54,1,13,0,1.8,0,13,12,2.33333333333333,67,58,16,18,15,6,24,11,20,5,7,0,0,0,0,0,0,0,2,5,0,0,7,-15,42.4285714285714,1.28571428571429,11.2214701489525,27,19.2857142857143,23.1428571428571,69.4285714285714,92.5714285714286,1.5,0.230769230769231,1.25,1.48076923076923,-12,-52.7040620675863,0.538461538461538,-1.15384615384615,0.461538461538462,-0.384615384615385,5.15384615384615,4.46153846153846,1.23076923076923,30.725,-87.524293383926,-2.84863444699515,-0.738534856628373,-28.405186793399
"59793",395,141,254,66,35,67,10,25,67,46,24,4916,3832,1041.66666666667,671,165,23,925,1334,66,625,584,6,979,946,20,51,53,82,33,184,53,902,1092,116,71,3125,973,5.04576,1.82208,4.88821300609535,8.17344,8.45856,0.57024,7.992,5.4,0.241388308977036,0.39279902359642,0.34812108559499,0.740920109191409,0.299198885405782,0.347416259048905,0.192432872253865,0.197925142392189,0.0134255492270138,0.588283157038243,0.136493083807974,0.0335638730675346,0.00467860048820179,27.2310126582278,-0.352864812497477,-0.0129581964845093,-1.49979125978117,-0.152541828700282
"59811",229,0,229,15,68,26,16,49,66,43,16,1244,1113,282,208,64,3,301,449,26,158,142,9,109,167,2,8,10,29,12,115,40,331,308,4,8,846,100,4.53191489361702,1.42198581560284,4.15662719049251,5.32978723404255,3.47872340425532,0.829787234042553,9.6063829787234,5.04255319148936,0.270440251572327,0.331993569131833,0.403414195867026,0.735407764998859,0.296336206896552,0.326781103213405,0.134244372990354,0.0803858520900322,0.0209003215434084,0.747588424437299,0.167202572347267,0.0514469453376206,0.00241157556270096,28.6703056768559,0.00458199601316078,0.000159816782730001,0.00500759252554002,0.00201269796042605
"60184",441,317,124,107,22,88,5,14,29,22,10,8322,7462,1921,1394,401,55,2016,3025,166,1068,966,7,691,953,26,74,53,181,66,71,28,2460,2023,40,83,5763,684,4.5257678292556,1.40551795939615,4.27798833144672,4.4648620510151,3.23737636647579,0.777719937532535,9.44508068714211,5.00364393545029,0.270168855534709,0.332372025955299,0.405387295631198,0.737759321586497,0.288296711859124,0.326203719992746,0.114515741408315,0.0821917808219178,0.0199471280942081,0.774573419850997,0.167507810622447,0.0481855323239606,0.00660898822398462,25.2823129251701,0.0434912520522364,0.00172022441858704,0.367172345345079,0.0220603427868949
"60264",6,3,3,0,0,2,0,0,0,2,0,115,89,22.6666666666667,26,4,2,32,40,0,20,19,0,21,12,0,4,2,1,1,4,3,19,29,1,3,68,21,7.54411764705882,2.33823529411765,4.79920124138946,4.76470588235294,8.33823529411765,0,12.7058823529412,7.94117647058824,0.359550561797753,0.469565217391304,0.449438202247191,0.919003419638495,0.395061728395062,0.411612218063473,0.104347826086957,0.182608695652174,0,0.704347826086957,0.226086956521739,0.0347826086956522,0.0173913043478261,26.8333333333333,-2.89404128308571,-0.107852470177107,-0.271628443409011,-1.18099323221309
"60785",30,23,190.2,91,58,32,1,8,0,2.1,0,0,0,0,53,50,6,5,6,4,11,5,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,-10,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,NA,-0.1,-11.97416672122,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
