//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,
Snapshot RP George Zuverink BAL 1958,70594,69,7,,,,1958,N,Baltimore Orioles,BAL,Zuverink,George,,35,20,8,1924,1,1,1,12,3,4,2,2,1,1,3,4,2,3,1,1,3,4,2,2,1,1,0,0,0,6,3,6,8,25,44,36,94,93,102,79,32,73,117,72,76,38,121,77,140,83,33,0,33,0,0,46,0,0,0,0,0,0,25,36,2,88-90,3,193,35,20,26,23,0,0,0,1,4,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,zuverge01,90,150,132,1002,2025-03-14,
Snapshot RP Sam Zoldak CLE 1949,70549,51,7,,,,1949,N,Cleveland,CLE,Zoldak,Sam,Sad Sam,20,8,12,1918,2,2,1,12,3,2,3,2,1,1,5,1,3,4,3,3,3,3,3,2,1,1,1,1,0,7,4,11,7,30,41,33,75,75,67,92,40,87,92,87,88,30,72,70,62,93,34,0,33,32,0,0,0,0,0,0,0,0,24,115,1,88-90,3,183,33,69,42,23,0,0,0,9,9,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,zoldasa01,6,32,31,106,2025-03-14,
Historical All-Star SP Jordan Zimmermann WAS 2013,70284,84,5,,,,2013,N,Washington Nationals,WSN,Zimmermann,Jordan,J Z,27,23,5,1986,1,1,1,11,5,9,4,7,4,2,5,5,2,8,4,2,6,11,5,7,5,3,2,1,0,5,5,6,5,70,13,59,96,98,86,116,52,91,98,83,109,67,99,98,89,121,62,73,67,71,0,0,0,0,0,0,0,0,77,42,2,91-93,3,188,27,25,25,23,0,0,0,5,2,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,zimmejo02,1002,2699,2693,25001,2025-03-14,
Historical All-Star 2B Don Zimmer CHC 1961,71286,50,5,,,,1961,N,Chicago Cubs,CHC,Zimmer,Don,Popeye,17,17,1,1931,1,1,4,0,60,109,69,47,75,47,58,67,46,52,83,32,61,131,77,46,72,53,1,0,0,59,32,76,73,34,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,15,3,0,0,0,0,0,0,0,0,1,18,2,90-92,3,175,50,54,44,59,0,0,0,8,2,7,0,0,0,48,37,29,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,zimmedo01,6,33,31,1001,2025-03-14,
MLB 2025 Live RP Angel Zerpa KC,72033,61,1,,,,2025,N,Kansas City Royals,KCR,Zerpa,Angel,,61,27,9,1999,2,2,1,12,22,11,1,19,28,11,21,11,1,19,27,11,24,12,1,20,29,12,0,0,0,14,15,7,19,41,17,65,68,78,66,73,72,72,82,70,77,63,67,78,65,71,82,72,64,52,0,68,0,0,0,0,0,0,28,60,0,96-98,3,183,33,56,50,33,3,3,4,33,30,14,90,0,60,0,0,0,23,0,0,0,1,0,0,0,1,0,0,8,1,2,0,1,zerpaan01,46,202,176,0,2025-03-14,
All-Time Legend 2B Rollie Zeider CWS Peak,71418,56,4,,,,1910,Y,Chicago White Sox,CHW,Zeider,Rollie,Bunions,15,16,11,1883,1,1,4,0,65,52,30,80,98,36,65,52,29,92,93,41,65,53,31,78,100,35,1,0,0,75,88,89,69,93,100,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,90-92,3,178,91,56,71,82,0,0,0,5,8,4,0,0,76,94,75,75,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,zeidero01,15,42,25,0,2025-03-14,
Snapshot RF Al Zarilla BOS 1949,70821,58,7,,,,1949,N,Boston Red Sox,BOS,Zarilla,Al,Zeke,14,1,5,1919,2,1,9,0,69,112,65,71,77,62,89,78,43,80,78,97,64,128,73,68,77,54,2,1,0,51,42,58,69,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,10,2,90-92,4,180,7,7,1,6,0,0,0,50,81,52,0,0,0,0,0,0,60,21,50,0,0,0,0,0,1,1,1,2,0,1,0,0,zarilal01,14,31,29,2500,2025-03-14,
Unsung Heroes SP Paul Zahniser BOS 1926,70398,48,8,,,,1926,N,Boston Red Sox,BOS,Zahniser,Paul,,12,6,9,1896,1,1,1,11,3,3,1,5,1,1,3,2,1,4,1,1,4,4,2,6,1,2,0,2,0,10,5,6,16,22,52,39,68,56,74,56,33,77,62,91,51,45,63,52,65,59,46,40,47,0,0,0,0,37,0,0,0,0,67,81,2,88-90,2,183,33,20,25,23,0,0,0,2,9,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,zahnipa01,8,45,24,233,2025-03-14,
Rookie Sensation SP Pat Zachry CIN 1976,71556,88,3,,,,1976,N,Cincinnati Reds,CIN,Zachry,Pat,,40,24,4,1952,1,1,1,11,4,7,4,8,2,2,5,7,4,5,1,4,5,7,4,10,3,2,1,0,0,5,4,6,5,48,20,105,96,51,89,111,94,85,48,79,99,114,105,53,97,121,70,95,0,132,0,0,0,0,0,0,0,0,68,79,2,90-92,3,196,28,21,24,23,0,0,0,2,10,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,0,0,zachrpa01,1001,3599,2209,7004,2025-03-14,
Unsung Heroes 2B Ralph Young DET 1921,70497,71,8,,,,1921,N,Detroit Tigers,DET,Young,Ralph,,63,19,9,1888,3,1,4,0,87,31,16,141,104,75,76,44,9,152,101,58,95,28,19,138,105,80,0,1,0,64,61,67,60,66,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,1,2,90-92,3,165,40,58,22,48,0,0,0,7,3,10,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,5,0,0,youngra01,215,594,214,0,2025-03-14,
