 Card ID,//Card Title, Card Value, Bats, Throws, Position, Contact, Gap, Power, Eye, Avoid Ks, BABIP, Contact vL, Gap vL, Power vL, Eye vL, Avoid K vL, BABIP vL,Contact vR, Gap vR, Power vR, Eye vR, Ks vR, BABIP vR, GB Hitter Type, FB Hitter Type, BattedBallType, Speed, Stealing, Baserunning, Sac bunt, Bunt for hit, Stuff, Movement, Control,Stuff vL, Movement vL, Control vL, Stuff vR, Movement vR, Control vR, Fastball, Slider, Curveball, Changeup, Cutter, Sinker, Splitter, Forkball, Screwball, Circlechange, Knucklecurve, Knuckleball, Stamina, Hold, GB, Velocity, Arm Slot,Infield Range, Infield Error, Infield Arm, DP, CatcherAbil, Catcher Arm, OF Range, OF Error, OF Arm, Pos Rating P, Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF, LearnRF,Packable,Dummycode
34903,MLB 2022 Live C Mike Zunino TB 2022,69,R,R,C,35,39,75,45,24,26,36,38,76,46,25,27,35,39,75,44,24,26,Pull,Pull,Flyball,12,31,45,27,24,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XFB,-,Normal,34,50,52,13,81,73,33,39,51,0,81,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,Packable,MLB 2022 Live C Mike Zunino TB 2022 (Packable)
40637,MLB 2022 Live CL Tyler Zuber KC 2022,48,R,R,CL,21,15,6,20,21,20,21,15,6,20,21,20,21,15,6,20,21,20,Spray,Spray,Groundball,13,10,16,52,7,67,41,45,63,39,44,69,43,45,68,63,43,35,0,0,0,0,0,0,0,0,14,39,FB,95-97,Normal,28,14,62,8,1,3,13,21,28,57,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Packable,MLB 2022 Live CL Tyler Zuber KC 2022 (Packable)
36221,PLATINUM SERIES 2 SP Sam Zoldak CLE 1948,54,L,L,SP,32,24,1,18,35,36,34,26,1,19,38,37,32,23,1,17,34,36,Spray,Pull,Groundball,4,12,8,28,5,38,70,66,37,68,65,38,70,66,44,0,50,33,0,0,0,0,0,0,0,0,72,65,NEU,89-91,Normal,29,24,25,24,0,0,10,2,2,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plat 2,PLATINUM SERIES 2 SP Sam Zoldak CLE 1948 (Plat 2)
36036,SPECIAL EDITION 2B Ben Zobrist TB 2009,71,S,R,2B,68,69,71,74,48,63,68,81,73,84,46,65,68,65,71,71,48,63,Pull,Spray,Normal,57,79,63,5,4,3,24,1,3,22,1,3,25,1,0,0,4,0,12,0,0,0,0,0,0,0,1,72,NEU,83-85,Normal,67,68,47,65,0,0,69,82,65,0,0,0,70,0,53,0,0,75,0,0,1,0,1,1,0,1,TE 1,SPECIAL EDITION 2B Ben Zobrist TB 2009 (TE 1)
36223,LIMITED EDITION RF Richie Zisk CWS 1977,91,R,R,RF,97,81,92,65,61,83,101,81,99,70,63,84,96,81,90,63,60,83,Normal,Spray,Flyball,11,11,11,18,1,2,1,1,2,1,1,2,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,26,XFB,83-85,Normal,6,4,9,7,0,0,61,73,59,0,0,0,0,0,0,73,0,63,0,0,0,0,0,1,0,1,LE,LIMITED EDITION RF Richie Zisk CWS 1977 (LE)
35006,MLB 2022 Live SP Bruce Zimmermann BAL 2022,51,L,L,SP,22,17,8,19,15,25,21,16,8,18,14,24,22,18,8,19,15,25,Pull,Pull,Groundball,16,6,10,33,11,48,34,70,50,36,70,47,34,70,55,45,43,48,0,0,0,0,0,0,0,0,73,49,NEU,92-94,Normal,16,18,40,11,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Packable,MLB 2022 Live SP Bruce Zimmermann BAL 2022 (Packable)
39525,Snapshot C Charles Zimmer CL4 1892,71,R,R,C,59,98,20,54,50,69,60,100,21,55,50,69,59,97,20,53,50,69,Normal,Pull,Line,55,67,61,4,11,2,1,1,2,1,1,2,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,15,XFB,83-85,Over,9,7,10,7,73,77,2,3,5,0,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Packable,Snapshot C Charles Zimmer CL4 1892 (Packable)
40834,MLB 2022 Live CF Bradley Zimmer TOR 2022,59,L,R,CF,42,39,44,52,26,52,41,35,40,43,26,49,42,41,46,55,26,52,Pull,Normal,Groundball,69,81,66,59,52,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,XFB,-,Normal,34,20,46,19,1,2,76,65,76,0,0,0,0,0,0,59,64,84,0,1,0,1,0,1,1,1,Packable,MLB 2022 Live CF Bradley Zimmer TOR 2022 (Packable)
41691,MLB 2022 Live SP T.J. Zeuch CIN 2022,52,R,R,SP,18,24,5,17,14,19,18,24,5,17,14,19,18,24,5,17,14,19,Pull,Pull,Groundball,11,8,23,44,4,43,48,55,41,45,54,46,50,56,0,45,0,24,43,45,0,0,0,0,0,0,61,56,XGB,93-95,Over,33,45,28,26,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Packable,MLB 2022 Live SP T.J. Zeuch CIN 2022 (Packable)
41409,MLB 2022 Live SP Angel Zerpa KC 2022,61,L,L,SP,17,15,1,21,22,14,17,15,1,21,22,14,17,15,1,21,22,14,Spray,Spray,Groundball,15,7,19,41,17,48,48,57,47,47,57,48,48,57,53,0,56,57,0,0,0,0,0,0,0,0,44,60,GB,90-92,Normal,33,56,50,33,3,4,33,30,14,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Packable,MLB 2022 Live SP Angel Zerpa KC 2022 (Packable)
