"CID","PA","AB","H","X1B","X2B","X3B","HR","RBI","R","BB","IBB","HP","SH","SF","SO","GIDP","EBH","TB","SB","CS","UBR","UBB","avg","obp","slg","ops","babip","woba","wRAA","wSB","BSR","oWAA","oWAA.500","Krate","BBrate","HRrate","XBH","XBHrate","X3Brate","SBrate","CSrate","UBRrate","SBO","SBA","SBArate"
"59284",149,138,32,24,6,1,1,19,15,7,0,1,0,3,20,3,8,43,4,4,-0.8,7,0.231884057971014,0.268456375838926,0.311594202898551,0.580050578737477,0.258333333333333,0.257253071988096,-10.3561465091945,-0.890850740982242,-1.69085074098224,-1.12151270412255,-3.76346545007567,0.134228187919463,0.0469798657718121,0.00671140939597315,7,0.225806451612903,0.142857142857143,0.5,0.0268456375838926,-0.00536912751677852,32,8,0.25
"59288",123,114,32,25,5,1,1,8,14,5,1,3,2,1,19,1,7,42,1,0,-1.9,4,0.280701754385965,0.317073170731707,0.368421052631579,0.685494223363286,0.326315789473684,0.305923127222058,-3.38625617572382,0.875918818417881,-1.02408118158212,-0.410579439255065,-1.66902211079295,0.154471544715447,0.032520325203252,0.00813008130081301,6,0.193548387096774,0.166666666666667,1,0,-0.0154471544715447,32,1,0.03125
"59301",751,688,193,132,48,3,10,70,87,49,1,6,0,8,50,18,61,277,18,18,4.4,48,0.280523255813953,0.328894806924101,0.402616279069767,0.731511085993869,0.287735849056604,0.322101517168775,-10.1971131211294,-3.60448240056186,0.795517599438138,-0.875239580256709,-0.582716098706198,0.066577896138482,0.0639147802929427,0.0133155792276964,51,0.278688524590164,0.0588235294117647,0.5,0.0239680426098535,0.00585885486018642,186,36,0.193548387096774
"59426",5123,4234,843,437,145,40,221,655,656,801,1,36,3,52,511,90,406,1731,25,29,-1.2,800,0.199102503542749,0.327737653718524,0.408833254605574,0.736570908324098,0.175014068655037,0.325896152386377,-52.7950521277303,1.29195201326131,0.091952013261305,-4.90638414681735,-0.478858495687815,0.0997462424360726,0.156158500878392,0.0431387858676557,185,0.297427652733119,0.216216216216216,0.462962962962963,0.00566074565684169,-0.000234237751317587,1273,54,0.0424194815396701
"59476",1212,1054,310,246,56,0,8,128,146,132,6,14,0,12,98,19,64,390,0,1,3.8,126,0.294117647058824,0.371287128712871,0.370018975332068,0.74130610404494,0.314583333333333,0.338006524442274,0.168074194990859,2.84855499352405,6.64855499352405,0.634592676951086,0.261795658808204,0.0808580858085809,0.103960396039604,0.0066006600660066,56,0.185430463576159,0,0,0.000825082508250825,0.00313531353135314,386,1,0.00259067357512953
"59520",30211,26489,6856,4139,1339,38,1340,4456,3949,3229,63,231,15,262,4483,930,2717,12291,4,18,-23,3166,0.258824417682812,0.339379696137169,0.464003926158028,0.803383622295196,0.263570336391437,0.348594612218018,280.056094579522,59.206215861266,36.206215861266,29.4423740313619,0.487279037955743,0.148389659395584,0.104796266260634,0.0443547052398133,1377,0.249637418419144,0.027596223674655,0.181818181818182,0.000595809473370627,-0.000761312104862467,7536,22,0.00291932059447983
"59586",308,281,75,56,15,2,2,18,31,23,1,3,2,1,39,7,19,100,6,9,4.4,22,0.266903914590747,0.324675324675325,0.355871886120996,0.680547210796321,0.302904564315353,0.306506969235036,-8.32432330606301,-3.62130578781811,0.778694212181888,-0.702458771563198,-1.14035514864155,0.126623376623377,0.0714285714285714,0.00649350649350649,17,0.232876712328767,0.117647058823529,0.4,0.0292207792207792,0.0142857142857143,81,15,0.185185185185185
"59676",722,650,171,120,16,3,32,103,93,53,3,12,0,7,150,15,51,289,5,9,4.8,50,0.263076923076923,0.322714681440443,0.444615384615385,0.767330066055828,0.292631578947368,0.333486982562883,-2.71403197104884,-3.21679581568493,1.58320418431507,-0.105274177677603,-0.0729045551783956,0.207756232686981,0.0692520775623269,0.0443213296398892,19,0.136690647482014,0.157894736842105,0.357142857142857,0.0124653739612188,0.00664819944598338,182,14,0.0769230769230769
"59715",679,611,159,114,32,8,5,55,82,61,1,3,5,4,130,16,45,222,4,6,6,60,0.260229132569558,0.326951399116348,0.363338788870704,0.690290187987051,0.320833333333333,0.309627116731719,-16.5242531407389,-1.23004790938916,4.76995209061084,-1.09426421223813,-0.805791025212172,0.191458026509573,0.0883652430044183,0.00736377025036819,40,0.25974025974026,0.2,0.4,0.00883652430044183,0.00883652430044183,177,10,0.0564971751412429
"59813",284,247,80,56,9,9,6,26,37,34,0,2,3,1,31,6,24,125,0,3,-8.32667268468867e-17,34,0.323886639676113,0.408450704225352,0.506072874493927,0.914523578719279,0.350710900473934,0.398605834227451,14.8817271932337,-1.71701991211533,-1.71701991211533,1.2255656870522,2.15768606875387,0.109154929577465,0.119718309859155,0.0211267605633803,18,0.243243243243243,0.5,0,0.0105633802816901,-2.93192700165094e-19,92,3,0.0326086956521739
"60107",1500,1372,427,310,55,3,59,225,203,102,4,15,0,11,251,37,117,665,9,25,-8.9,98,0.311224489795918,0.36,0.48469387755102,0.84469387755102,0.342963653308481,0.366640115308377,37.2490835102348,-12.5064643833061,-21.4064643833061,1.4748653335307,0.491621777843568,0.167333333333333,0.0653333333333333,0.0393333333333333,58,0.157608695652174,0.0517241379310345,0.264705882352941,0.0166666666666667,-0.00593333333333333,423,34,0.0803782505910166
"60479",1329,1188,344,233,75,8,28,148,161,122,9,12,0,7,247,28,111,519,0,1,0.4,113,0.28956228956229,0.352896914973664,0.436868686868687,0.789765601842351,0.343478260869565,0.348567573326771,12.2888448564094,2.57899103761856,2.97899103761856,1.42135600797613,0.534746428884923,0.185854025583145,0.0850263355906697,0.0210684725357412,83,0.262658227848101,0.0963855421686747,0,0.000752445447705041,0.000300978179082017,358,1,0.00279329608938547
"60629",209,177,29,24,0,0,5,15,22,32,0,0,0,0,23,0,5,44,5,5,1.2,32,0.163841807909605,0.291866028708134,0.248587570621469,0.540453599329603,0.161073825503356,0.260143809173886,-14.0053665006673,-0.959526879996097,0.240473120003904,-1.28143988719512,-3.06564566314621,0.110047846889952,0.15311004784689,0.0239234449760766,0,0,0,0.5,0.0239234449760766,0.00574162679425837,56,10,0.178571428571429
"60743",148,139,34,21,11,2,0,14,22,5,0,2,0,2,12,3,13,49,0,1,1.1,5,0.244604316546763,0.277027027027027,0.352517985611511,0.629545012638538,0.263565891472868,0.275459691963123,-7.96279532319519,-0.598012728410395,0.501987271589606,-0.694562374269047,-2.3464945076657,0.0810810810810811,0.0337837837837838,0,13,0.382352941176471,0.153846153846154,0,0.00675675675675676,0.00743243243243243,28,1,0.0357142857142857
"60761",3013,2678,786,480,208,6,92,433,371,288,9,19,0,28,331,93,306,1282,8,16,4.6,279,0.293502613890963,0.359774311317624,0.478715459297984,0.838489770615607,0.303985983355234,0.364170463476,68.4037074760835,-1.84843408090162,2.75156591909838,6.62418538170071,1.09926740486238,0.109857285097909,0.0925987387985397,0.0305343511450382,214,0.30835734870317,0.0280373831775701,0.333333333333333,0.00531032193826751,0.00152671755725191,778,24,0.0308483290488432
