"CID","POS","G","IP","TC","A","PO","E","DP","TP","ZR","SBA","RTO","PB","CER","BIZ-R","BIZ-Rm","BIZ-L","BIZ-Lm","BIZ-E","BIZ-Em","BIZ-U","BIZ-Um","BIZ-Z","BIZ-Zm","BIZ-I","FRM","ARM","outs","TCip","Eip","PBip","SBip","RTOip","FRMip","ARMip","ZRip","dWAR","dWAA"
"59284",3,32,276.666666666667,289,19,269,1,19,0,0.9,0,0,0,0,51,48,11,10,10,6,7,3,1,0,0,0,0,830,1.04457831325301,0.0036144578313253,0,0,0,0,0,0.00325301204819277,0.9,0.9
"59288",6,35,247.333333333333,143,83,54,6,15,0,-1.1,0,0,0,0,89,78,9,8,16,8,6,4,16,7,8,0,0,742,0.578167115902965,0.0242587601078167,0,0,0,0,0,-0.00444743935309973,-1.1,-1.1
"59301",4,116,935.333333333333,576,342,222,12,80,0,-1.2,0,0,0,0,295,272,56,33,49,27,41,16,72,10,35,0,0,2806,0.615823235923022,0.0128296507483963,0,0,0,0,0,-0.00128296507483963,-1.2,-1.2
"59301",6,6,46,31,20,7,4,4,0,-2.1,0,0,0,0,20,16,3,1,2,0,7,3,4,2,3,0,0,138,0.673913043478261,0.0869565217391304,0,0,0,0,0,-0.0456521739130435,-2.1,-2.1
"59426",3,681,4063.33333333333,4413,226,4166,21,440,0,14.1,0,0,0,0,769,738,127,116,64,53,51,24,49,4,24,0,0,12190,1.08605414273995,0.0051681706316653,0,0,0,0,0,0.00347005742411813,14.1,14.1
"59426",4,543,4260.33333333333,2584,1446,1104,34,391,0,-52.7,0,0,0,0,1280,1139,233,168,221,121,243,62,328,48,179,0,0,12781,0.606525311008528,0.00798059619748064,0,0,0,0,0,-0.012369924106095,-52.7,-52.7
"59426",5,114,744.666666666667,211,133,69,9,15,0,-6.5,0,0,0,0,154,140,42,39,16,10,17,4,14,1,10,0,0,2234,0.283348254252462,0.0120859444941808,0,0,0,0,0,-0.00872873769024172,-6.5,-6.5
"59426",7,53,375,70,1,69,0,0,0,-1.2,0,0,0,0,38,38,18,15,7,3,11,4,21,9,27,0,0.7,1125,0.186666666666667,0,0,0,0,0,0.00186666666666667,-0.0032,-0.5,-0.5
"59476",5,176,1447.66666666667,450,327,109,14,32,0,2.4,0,0,0,0,290,275,89,83,45,33,29,16,53,14,7,0,0,4343,0.310845037992171,0.009670734515312,0,0,0,0,0,0.00165784020262491,2.4,2.4
"59476",7,67,508,115,4,108,3,0,0,6.2,0,0,0,0,53,52,22,17,10,7,19,10,48,22,36,0,0.2,1524,0.226377952755905,0.00590551181102362,0,0,0,0,0.000393700787401575,0.0122047244094488,6.4,6.4
"59476",8,6,28,9,0,9,0,0,0,-0.6,0,0,0,0,7,7,1,0,2,1,2,1,0,0,1,0,-0.3,84,0.321428571428571,0,0,0,0,0,-0.0107142857142857,-0.0214285714285714,-0.9,-0.9
"59476",9,55,431.666666666667,94,3,87,4,1,0,1,0,0,0,0,50,48,10,10,4,3,20,14,41,12,32,0,-1.3,1295,0.217760617760618,0.00926640926640927,0,0,0,0,-0.00301158301158301,0.00231660231660232,-0.3,-0.3
"59520",4,6608,56377.6666666667,35354,20854,13857,643,5570,2,291.1,0,0,0,0,17092,15797,3249,2511,2829,1784,3074,1104,4376,974,2400,0,-8.32667268468867e-17,169133,0.627092288317478,0.011405225473444,0,0,0,0,-1.47694524747187e-21,0.00516339212335854,291.1,291.1
"59520",5,203,1436.33333333333,435,300,112,23,26,0,1.1,0,0,0,0,276,262,79,74,48,32,19,12,35,12,16,0,0,4309,0.302854490601068,0.0160129960547691,0,0,0,0,0,0.000765838941749826,1.1,1.1
"59520",6,681,5342.33333333333,2973,1831,1053,89,182,0,3.6,0,0,0,0,1806,1660,221,136,306,185,333,133,444,126,228,0,-0.2,16027,0.556498408934922,0.0166593872839583,0,0,0,0,-3.74368253572097e-05,0.000673862856429775,3.4,3.4
"59520",7,126,519.333333333333,120,1,115,4,1,0,-0.2,0,0,0,0,70,69,17,14,8,6,17,9,40,17,35,0,-1.2,1558,0.231065468549422,0.00770218228498074,0,0,0,0,-0.00231065468549422,-0.000385109114249037,-1.4,-1.4
"59520",8,107,579,190,3,181,6,0,0,-8.2,0,0,0,0,94,93,25,19,35,25,34,18,59,26,52,0,-5.3,1737,0.328151986183074,0.0103626943005181,0,0,0,0,-0.00915371329879102,-0.0141623488773748,-13.5,-13.5
"59520",9,52,211.666666666667,44,0,44,0,0,0,0.8,0,0,0,0,26,26,5,5,6,5,6,4,16,4,15,0,0.6,635,0.207874015748031,0,0,0,0,0,0.00283464566929134,0.00377952755905512,1.4,1.4
"59586",7,4,19,6,0,6,0,0,0,0.5,0,0,0,0,3,3,2,2,0,0,1,1,2,0,1,0,0.1,57,0.315789473684211,0,0,0,0,0,0.00526315789473684,0.0263157894736842,0.6,0.6
"59586",8,1,9,3,0,3,0,0,0,-0.9,0,0,0,0,0,0,2,2,1,1,3,0,2,0,2,0,-0.1,27,0.333333333333333,0,0,0,0,0,-0.0111111111111111,-0.1,-1,-1
"59586",9,64,542.666666666667,138,4,127,7,0,0,3,0,0,0,0,75,75,20,16,8,5,21,10,47,21,27,0,-2.1,1628,0.254299754299754,0.0128992628992629,0,0,0,0,-0.00386977886977887,0.00552825552825553,0.9,0.9
"59676",7,82,640.666666666667,119,4,115,0,1,0,1.7,0,0,0,0,67,66,18,15,6,5,26,12,45,17,40,0,4.7,1922,0.185744016649324,0,0,0,0,0,0.00733610822060354,0.00265348595213319,6.4,6.4
"59676",8,15,92.3333333333333,23,0,23,0,0,0,-1.1,0,0,0,0,10,10,2,2,9,5,4,3,8,3,8,0,-0.4,277,0.249097472924188,0,0,0,0,0,-0.00433212996389892,-0.011913357400722,-1.5,-1.5
"59676",9,73,612.666666666667,158,7,147,4,1,0,3.3,0,0,0,0,91,90,19,16,10,9,30,17,45,15,39,0,-0.5,1838,0.257889009793254,0.00652883569096844,0,0,0,0,-0.000816104461371055,0.00538628944504897,2.8,2.8
"59715",3,32,230.666666666667,231,15,215,1,17,0,0.8,0,0,0,0,34,32,4,4,6,6,1,0,1,0,4,0,0,692,1.0014450867052,0.00433526011560694,0,0,0,0,0,0.00346820809248555,0.8,0.8
"59715",5,55,372,107,78,24,5,8,0,1.6,0,0,0,0,73,68,19,16,8,7,3,3,13,6,3,0,0,1116,0.287634408602151,0.0134408602150538,0,0,0,0,0,0.0043010752688172,1.6,1.6
"59715",6,87,755,405,266,132,7,64,0,2.1,0,0,0,0,222,207,28,21,47,26,54,22,48,15,27,0,0,2265,0.536423841059603,0.00927152317880795,0,0,0,0,0,0.00278145695364238,2.1,2.1
"59813",4,44,334.666666666667,189,112,73,4,23,0,-2.6,0,0,0,0,110,93,22,13,24,12,17,6,23,5,13,0,0,1004,0.564741035856574,0.0119521912350598,0,0,0,0,0,-0.00776892430278884,-2.6,-2.6
"59813",6,26,224,119,70,47,2,9,0,0.2,0,0,0,0,72,67,11,7,17,10,17,8,15,5,6,0,0,672,0.53125,0.00892857142857143,0,0,0,0,0,0.000892857142857143,0.2,0.2
"60107",7,228,1966,433,11,408,14,1,0,-0.9,0,0,0,0,261,252,45,41,42,32,70,41,122,42,134,0,-1.3,5898,0.220244150559512,0.00712105798575788,0,0,0,0,-0.000661241098677518,-0.000457782299084435,-2.2,-2.2
"60479",3,87,496.333333333333,462,24,436,2,42,0,-0.1,0,0,0,0,83,78,11,10,3,2,3,0,7,1,4,0,0,1489,0.930826057756884,0.00402955003357958,0,0,0,0,0,-0.000201477501678979,-0.1,-0.1
"60479",5,152,1285.66666666667,350,246,95,9,24,0,1.2,0,0,0,0,218,205,87,76,43,32,24,9,36,4,9,0,0,3857,0.272232304900181,0.00700025926886181,0,0,0,0,0,0.000933367902514908,1.2,1.2
"60629",4,8,34,17,6,10,1,0,0,-1.2,0,0,0,0,12,8,0,0,1,1,2,0,0,0,0,0,0,102,0.5,0.0294117647058824,0,0,0,0,0,-0.0352941176470588,-1.2,-1.2
"60629",8,5,29,9,0,9,0,0,0,-0.6,0,0,0,0,4,4,1,1,3,3,1,0,3,1,4,0,-0.3,87,0.310344827586207,0,0,0,0,0,-0.0103448275862069,-0.0206896551724138,-0.9,-0.9
"60629",9,30,234.666666666667,59,3,54,2,1,0,1.9,0,0,0,0,27,27,14,13,3,2,8,5,14,7,20,0,0.2,704,0.251420454545455,0.00852272727272727,0,0,0,0,0.000852272727272727,0.00809659090909091,2.1,2.1
"60743",7,12,98.3333333333333,27,0,27,0,0,0,-0.5,0,0,0,0,17,16,4,3,4,3,2,2,8,3,9,0,-0.4,295,0.274576271186441,0,0,0,0,0,-0.00406779661016949,-0.00508474576271186,-0.9,-0.9
"60743",9,5,28,11,1,10,0,0,0,0,0,0,0,0,7,7,3,2,1,1,1,0,0,0,2,0,-0.1,84,0.392857142857143,0,0,0,0,0,-0.00357142857142857,0,-0.1,-0.1
