"CID","G","GS","RA","W","SVO","L","BS","SV","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","DP","HP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"59216",14,1,13,3,1,1,1,0,1,5,1,94,79,18,22,7,1,30,39,0,18,18,0,12,5,1,1,2,1,1,5,3,31,15,2,2,54,12,9,2.33333333333333,4.56800915134249,2.5,6,0,15,9,0.379746835443038,0.457446808510638,0.493670886075949,0.951117694586588,0.4,0.410495829564253,0.0531914893617021,0.127659574468085,0,0.808510638297872,0.234042553191489,0.074468085106383,0.0106382978723404,29.0357142857143,-4.22591297591298,-0.145541898309426,-0.291083796618852,-1.54831806712155
"59276",5,2,3,1,0,2,0,0,1,1,0,83,72,19.3333333333333,15,1,0,20,33,4,14,14,0,10,9,0,0,1,3,1,2,1,12,31,4,2,58,10,6.51724137931034,1.55172413793103,6.43390953448425,4.18965517241379,4.6551724137931,1.86206896551724,9.31034482758621,6.51724137931034,0.277777777777778,0.373493975903614,0.458333333333333,0.831827309236948,0.271186440677966,0.356877481661624,0.108433734939759,0.120481927710843,0.0481927710843374,0.710843373493976,0.180722891566265,0.0120481927710843,0,26.3,-1.74315435522332,-0.0662796332784532,-0.142378471487048,-0.857701635464143
"59520",19,27,215.1,125,70,54,1,13,0,1.8,0,0,0,0,64,58,16,14,8,5,20,8,20,4,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-16,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,-0.75,NA,Inf,-Inf,Inf,NA,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
"59793",69,29,40,14,2,8,0,2,10,5,5,927,741,203.666666666667,135,28,1,173,230,9,95,94,0,170,179,1,10,7,9,5,28,7,177,221,25,16,611,170,4.15384615384615,1.68412438625205,4.44435030427938,7.90998363338789,7.51227495908347,0.397708674304419,7.64484451718494,4.19803600654665,0.233468286099865,0.375404530744337,0.310391363022942,0.685795893767279,0.291296625222025,0.314749255429827,0.193096008629989,0.183387270765912,0.00970873786407767,0.608414239482201,0.145631067961165,0.0302049622437972,0.00107874865156419,26.6050724637681,0.576051017540379,0.0216519243961793,0.489975029854279,0.264279951377713
"59811",24,0,24,1,3,1,1,2,10,2,4,120,111,27.3333333333333,20,8,0,30,44,2,15,9,0,9,14,0,0,1,5,0,17,6,36,26,1,1,82,9,2.96341463414634,1.42682926829268,4.0381988532395,4.60975609756098,2.96341463414634,0.658536585365854,9.87804878048781,4.9390243902439,0.27027027027027,0.325,0.396396396396396,0.721396396396396,0.294736842105263,0.309966521615861,0.116666666666667,0.075,0.0166666666666667,0.791666666666667,0.166666666666667,0.0666666666666667,0,28.7604166666667,-0.164937366156879,-0.00573487401342282,-0.0174170247815063,-0.0725709365896097
"60184",40,16,24,6,5,5,2,2,4,5,3,545,503,128.666666666667,102,29,3,143,205,9,54,52,0,29,47,1,9,2,13,2,13,9,178,139,4,7,386,29,3.63730569948187,1.33678756476684,3.97848698669079,3.28756476683938,2.02849740932642,0.629533678756477,10.0025906735751,3.77720207253886,0.284294234592445,0.319266055045872,0.407554671968191,0.726820727014062,0.293859649122807,0.308250185819353,0.0862385321100917,0.0532110091743119,0.0165137614678899,0.840366972477064,0.187155963302752,0.0532110091743119,0.0055045871559633,26.1875,0.996884951548163,0.038067205787042,0.544220053103638,0.499284452388658
"60785",30,23,190.2,91,58,32,1,8,0,2.1,0,0,0,0,53,50,6,5,6,4,11,5,14,4,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-10,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,-0.1,NA,Inf,-Inf,Inf,NA,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
"60840",19,6,29,21,9,11,1,2,0,-0.3,0,0,0,0,12,10,2,2,1,1,4,1,0,0,3,0,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,NA,Inf,NA,-0.24390243902439,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
"60871",12,9,3,3,0,2,0,0,2,0,0,219,196,49.6666666666667,46,10,2,58,72,0,23,21,0,21,20,2,0,1,6,0,1,0,54,65,7,2,149,21,3.80536912751678,1.59060402684564,3.58665195522019,3.6241610738255,3.80536912751678,0,10.510067114094,4.16778523489933,0.295918367346939,0.360730593607306,0.36734693877551,0.728077532382816,0.329545454545455,0.321283689830519,0.091324200913242,0.0958904109589041,0,0.812785388127854,0.210045662100457,0.045662100456621,0.0091324200913242,25.2291666666667,0.606301789187695,0.0240317802485626,0.13261982433466,0.302784987065435
"60904",6,13,111,65,45,18,2,4,0,0.1,0,0,0,0,50,46,5,3,5,3,7,3,12,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-10,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,0,NA,Inf,-Inf,Inf,NA,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
"60906",11,8,65,20,0,20,0,0,0,0.6,0,0,0,0,13,13,3,3,3,2,1,1,7,1,8,0,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,Inf,-Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,-0.0943396226415094,NA,Inf,-Inf,Inf,NA,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
"60910",113,10,103,9,20,7,0,20,29,17,8,700,631,163.333333333333,111,32,0,164,259,21,84,80,3,56,136,1,3,8,4,9,62,28,152,178,11,17,490,53,4.40816326530612,1.32857142857143,4.10315654363273,7.49387755102041,3.08571428571429,1.15714285714286,9.03673469387755,4.62857142857143,0.259904912836767,0.322857142857143,0.410459587955626,0.733316730812769,0.29979035639413,0.314788064244807,0.194285714285714,0.0757142857142857,0.03,0.682857142857143,0.158571428571429,0.0457142857142857,0,28.3893805309734,0.145515595515596,0.00512570520363538,0.0930220573993088,0.066444326713792
"60937",23,3,20,0,0,2,0,0,7,2,8,164,136,36.3333333333333,20,11,2,37,64,4,23,23,0,25,29,0,2,6,1,0,15,6,27,45,4,6,109,25,5.69724770642202,1.70642201834862,5.02264727570538,7.18348623853211,6.19266055045872,0.990825688073394,9.1651376146789,5.69724770642202,0.272058823529412,0.378048780487805,0.470588235294118,0.848637015781923,0.314285714285714,0.360835134638904,0.176829268292683,0.152439024390244,0.024390243902439,0.646341463414634,0.121951219512195,0.0670731707317073,0.0121951219512195,28.3804347826087,-0.923160682334995,-0.0325280669378857,-0.131317010971464,-0.40035674076666
"60939",6,0,6,0,0,0,0,0,3,0,4,17,16,5.33333333333333,1,0,0,1,1,0,0,0,0,1,7,0,0,2,0,0,4,0,2,6,2,1,16,1,0,0.375,1.06106470689804,11.8125,1.6875,0,1.6875,0,0.0625,0.117647058823529,0.0625,0.180147058823529,0.111111111111111,0.0918241782475392,0.411764705882353,0.0588235294117647,0,0.529411764705882,0.0588235294117647,0,0,28.6666666666667,4.77408702408702,0.166537919444896,0.0986891374488274,2.90262168967139
"60942",53,0,53,5,6,0,3,3,11,9,6,263,235,64.3333333333333,34,6,2,49,80,7,20,19,2,25,48,0,2,3,5,1,35,12,64,71,5,4,193,23,2.6580310880829,1.11917098445596,4.11838335974778,6.71502590673575,3.49740932642487,0.979274611398964,6.85492227979275,2.7979274611399,0.208510638297872,0.277566539923954,0.340425531914894,0.617992071838848,0.230769230769231,0.268394737048094,0.182509505703422,0.0874524714828897,0.026615969581749,0.692015209125475,0.129277566539924,0.0228136882129278,0.00760456273764259,28.4622641509434,1.97615956294713,0.0694308630004625,0.496302094781084,0.943540104146547
"60956",5,1,4,0,0,0,0,0,1,0,0,52,46,12.6666666666667,8,1,0,10,14,1,5,5,0,4,7,0,1,0,2,1,5,1,15,15,2,0,38,4,3.55263157894737,1.10526315789474,3.99198575952962,4.97368421052632,2.84210526315789,0.710526315789474,7.10526315789474,3.55263157894737,0.217391304347826,0.288461538461538,0.304347826086957,0.592809364548495,0.230769230769231,0.261332288057371,0.134615384615385,0.0769230769230769,0.0192307692307692,0.75,0.153846153846154,0.0192307692307692,0,26.95,1.22145544513966,0.0453230220831041,0.0637879570058502,0.613345740440867
"60964",10,0,10,1,0,0,0,0,2,1,0,67,59,16.6666666666667,9,3,1,15,26,2,8,8,0,6,7,0,2,1,0,0,8,3,14,25,1,3,50,6,4.32,1.26,4.92356470689804,3.78,3.24,1.08,8.1,4.32,0.254237288135593,0.313432835820896,0.440677966101695,0.75411080192259,0.25,0.313550497343729,0.104477611940299,0.0895522388059701,0.0298507462686567,0.776119402985075,0.134328358208955,0.0447761194029851,0.0149253731343284,28.1,0.454087024087023,0.0161596805724919,0.0299253343935036,0.223323390996295
"60966",497,0,497,46,128,48,32,96,172,105,79,2346,2084,539.333333333333,351,102,15,548,920,80,301,284,23,207,461,14,21,16,31,20,220,51,478,612,26,21,1618,184,4.73918417799753,1.35723114956737,4.36583911975342,7.69283065512979,3.45426452410383,1.33498145859085,9.14462299134734,5.02286773794808,0.262955854126679,0.320545609548167,0.441458733205374,0.762004342753541,0.29923273657289,0.324028734323099,0.196504688832055,0.0784313725490196,0.0341005967604433,0.672634271099744,0.149616368286445,0.0434782608695652,0.00639386189258312,28.8264587525151,-0.24878071386106,-0.00863029052569123,-0.517178150761793,-0.110225522327748
"60969",61,33,28,14,2,12,1,1,7,7,4,977,876,230,150,47,7,236,393,32,120,117,3,85,171,5,7,3,11,4,19,4,208,266,11,25,690,82,4.57826086956522,1.38260869565217,4.51486905472413,6.69130434782609,3.32608695652174,1.25217391304348,9.23478260869565,4.69565217391304,0.269406392694064,0.329580348004094,0.448630136986301,0.778210484990396,0.3,0.329829005099092,0.175025588536336,0.0839303991811668,0.0327533265097236,0.701125895598772,0.15353121801433,0.0481064483111566,0.00716479017400205,25.8196721311475,0.0784348501739807,0.00303779419721449,0.0776325183732592,0.0397300503445543
"60997",3,0,3,0,1,0,0,1,1,0,0,10,9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,3,0,0,9,0,0,0,1.12356470689804,9,0,0,0,0,0,0.1,0,0.1,0,0.0720130515104083,0.3,0,0,0.6,0,0,0,28.5,4.77408702408702,0.167511825406562,0.0558372751355207,2.79186375677604
"60998",10,0,10,0,0,0,0,0,0,1,0,68,61,15,10,4,1,16,25,1,8,8,0,6,9,0,0,1,0,1,8,3,16,19,0,1,45,6,4.8,1.46666666666667,3.99023137356471,5.4,3.6,0.6,9.6,4.8,0.262295081967213,0.338235294117647,0.409836065573771,0.748071359691418,0.294117647058824,0.321769457350235,0.132352941176471,0.0882352941176471,0.0147058823529412,0.75,0.147058823529412,0.0588235294117647,0.0147058823529412,28.35,-0.0259129759129761,-0.000914037951074996,-0.00152339658512499,-0.0112014454788603
"61000",26,24,2,7,0,9,0,0,1,0,0,553,494,127.333333333333,100,18,2,139,218,19,80,73,0,46,72,6,4,8,12,2,0,0,129,160,11,6,382,46,5.15968586387435,1.45287958115183,5.0162348639661,5.08900523560209,3.25130890052356,1.34293193717278,9.82460732984293,5.6544502617801,0.281376518218623,0.338155515370705,0.441295546558704,0.77945106192941,0.294840294840295,0.333017417803082,0.130198915009042,0.0831826401446655,0.0343580470162749,0.748643761301989,0.180831826401447,0.0325497287522604,0.00361663652802893,24.9615384615385,-0.880363237693081,-0.03526878918339,-0.498988054372407,-0.451164606123333
